номер,функц,д 99,д 19
"1",да,0.10,0.04
"2",нет,,
"3",да,0.60,0.37
"4",да,0.60,0.17
"5",да,0.80,1.25
"9",да,0.37,0.18
"6",да,0.18,0.18
"8",нет,,
"14",да,0.10,0.36
"13",да,1.10,0.88
"12",да,0.45,1.25
"11",да,0.50,0.62
"10",да,0.40,0.31
"62",да,0.40,0.34
"15",да,0.12,0.24
"16",да,0.60,1.05
"17",да,0.02,0.01
"25",да,1.90,2.70
"26",да,0.10,0.48
"24",нет,,
"50",да,0.13,0.52
"51",нет,,
"52",нет,,
"53",нет,,
"54",да,0.10,0.11
"46",да,0.60,0.45
"47",да,1.00,0.03
"48",да,1.50,0.72
"49",да,0.50,0.42
"56",да,1.00,0.55
"59",да,0.40,4.20
"55",дв,0.75,0.17
"57",нет,,
"58",нет,,
"37",нет,,
"38",нет,,
"40",да,0.30,0.19
"41",да,0.67,0.10
"44",да,0.75,1.70
"43",нет,,
"39",нет,,
"34",да,1.20,0.13
"33",да,0.24,0.04
"32",нет,,
"31",да,0.07,0.09
"30",да,0.09,0.06
"29",да,0.90,0.02
"27",нет,,
"28",да,2.50,1.08
"20",нет,,
"21",нет,,
"22",да,2.40,0.79
"23",да,0.60,0.38
"18",да,0.18,0.36
"19",да,0.60,0.59
"35",да,1.00,0.30
"36",да,1.00,0.95
"60",да,1.50,0.34
"61",да,0.14,0.25
"42",нет,,
"45",нет,,
